Id,Start time,Completion time,Email,Name,Choose Chancellor/ Associate Deanship/School:,Chancellor Units,Deanship of Academic Affairs Units,Deanship of Investigation,Deanship of Students,Deanship of Administration,School of Medicine,School of Dental Medicine,School of Nursing,School of Pharmacy,School of Health Professions,Graduate School of Public Health,Staff or Faculty member completing this information (first and last name; Ex: Juan Del Pueblo),Institutional Email (@upr.edu),Project or Iniciative,Brief description of the project or initiative,Strategic Topic for the Project or Initiative,Select Goal for the ACADEMIC EXCELLENCE AND INNOVATION for the Project or Iniciative - A,Select Goal for the RESEARCH TRANSFORMATION for the Project or Iniciative - B,"Select Goal for the FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY for the Project or Iniciative - C",Select Goal for the WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT for the Project or Iniciative - D,Select the Objective of the selected Goal 1A,Select the Objective of the selected Goal 2A,Select the Objective of the selected Goal 3A,Select the Objective of the selected Goal 1B,Select the Objective of the selected Goal 1C,Select the Objective of the selected Goal 2C,Select the Objective of the selected Goal 3C,Select the Objective of the selected Goal 1D,Select the Objective of the selected Goal 2D,Select the Objective of the selected Goal 3D,Person Responsible for the Project or Initiative,Does the Project/Initiative have a source of income?,Source(s) of Income,Estimated cost of the strategy/initiative in US$ (Academic Year 2025-2026) (Example: 10000.00),Funding Status
44,01/21/2026 04:22,01/21/2026 04:26,thomas.cervantes@upr.edu,THOMAS CERVANTES,Chancellor,Legal Affairs,,,,,,,,,,,Thomas Cervantes,thomas.cervantes@upr.edu,Cultural Activities Series - Sharable attitude-oriented success,This project addresses critical needs by developing strategic solutions and community partnerships.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 2: Optimize participation in collaborative social impact projects in the community.,,,,,,,,,,,Thomas Johnson,No,,,N/A
45,02/15/2026 08:50,02/15/2026 08:56,erin.long@upr.edu,ERIN LONG,School of Dental Medicine,,,,,,,Department of Restorative Sciences,,,,,Erin Long,erin.long@upr.edu,Learning Management System Upgrade - Reduced incremental conglomeration,This project aims to improve outcomes through innovative approaches and collaborative efforts.,A. ACADEMIC EXCELLENCE AND INNOVATION,Goal 2: Foster professional development of faculty and non-teaching staff to support educational excellence.,,,,,,,,,,,,,,Timothy Vasquez,Yes,CDBGMF - PAREO PROYECTOS FEMA (40472),18085.97,Pending
46,02/12/2026 20:06,02/12/2026 20:08,joshua.collins@upr.edu,JOSHUA COLLINS,Chancellor,Office of the Chancellor,,,,,,,,,,,Joshua Collins,joshua.collins@upr.edu,Data Analysis Center - Object-based cohesive methodology,This project aims to improve outcomes through innovative approaches and collaborative efforts.,B. RESEARCH TRANSFORMATION,,"Goal 1: Prioritize research at the RCM by maximizing the use of resources (human, fiscal, and physical) improving the efficiency of administrative processes, promoting dissemination activities and transdisciplinary collaboration, which in turn result in the generation of external funds.",,,,,,,,,,,,,Julie Hall PhD,Yes,D - DONATIVOS (40270);RCI - RECOBRO COSTOS IND (40330),42779.5,Pending
47,01/22/2026 14:23,01/22/2026 14:36,shawn.williams@upr.edu,SHAWN WILLIAMS,Dean of Academic Affairs,,Graduate Studies,,,,,,,,,,Shawn Williams,shawn.williams@upr.edu,Staff Training Program - Synergistic explicit support,An interdisciplinary effort to advance our mission through education and resource optimization.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 1: Transform RCM through process reengineering under principles of efficiency and efficacy.,,,,,,,,,,,,Kimberly Robertson,No,,,N/A
48,02/01/2026 03:12,02/01/2026 03:25,ashley.ramirez@upr.edu,ASHLEY RAMIREZ,Dean of Students,,,,Office of the Dean of Students,,,,,,,,Ashley Ramirez,ashley.ramirez@upr.edu,Research Infrastructure Development - Synergistic zero-defect groupware,This project addresses critical needs by developing strategic solutions and community partnerships.,B. RESEARCH TRANSFORMATION,,"Goal 1: Prioritize research at the RCM by maximizing the use of resources (human, fiscal, and physical) improving the efficiency of administrative processes, promoting dissemination activities and transdisciplinary collaboration, which in turn result in the generation of external funds.",,,,,,,,,,,,,Kim Serrano,No,,,N/A
49,02/15/2026 03:32,02/15/2026 03:44,amy.adams@upr.edu,AMY ADAMS,School of Medicine,,,,,,Department of Anatomy,,,,,,Amy Adams,amy.adams@upr.edu,Energy Sustainability - Networked systemic concept,This project addresses critical needs by developing strategic solutions and community partnerships.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 1: Transform RCM through process reengineering under principles of efficiency and efficacy.,,,,,,,,,,,,Jennifer Rice,No,,,N/A
50,01/22/2026 20:53,01/22/2026 21:06,james.gomez@upr.edu,JAMES GOMEZ,Dean of Investigation,,,Animal Research Facility,,,,,,,,,James Gomez,james.gomez@upr.edu,Laboratory Equipment Upgrade - Programmable client-driven collaboration,This initiative will transform our operations through technology and process improvement.,B. RESEARCH TRANSFORMATION,,Goal 2: Maintain RCM leadership in innovation and clinical/scientific research for sustainable local and global development.,,,,,,,,,,,,,Stephanie Becker,Yes,MGRC - CONTRATOS GOB MUNICIPAL (40260);SSTFA - F ESTATAL AYUDA ECON (20241-49),70453.13,New
51,02/04/2026 04:54,02/04/2026 04:59,devin.cohen@upr.edu,DEVIN COHEN,School of Nursing,,,,,,,,Nursing Research,,,,Devin Cohen,devin.cohen@upr.edu,Cultural Activities Series - Front-line modular website,A comprehensive initiative focused on enhancing quality and implementing best practices.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 2: Optimize participation in collaborative social impact projects in the community.,,,,,,,,,,,Timothy Hines,No,,,N/A
52,02/08/2026 15:35,02/08/2026 15:40,bill.lawrence@upr.edu,BILL LAWRENCE,School of Medicine,,,,,,Department of Pathology,,,,,,Bill Lawrence,bill.lawrence@upr.edu,Administrative Automation - Synergistic bi-directional adapter,A comprehensive initiative focused on enhancing quality and implementing best practices.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 2: Strengthen physical and technological infrastructure for optimal service quality.,,,,,,,,,,,,Scott Roberts,No,,,N/A
53,02/05/2026 00:30,02/05/2026 00:39,edgar.smith@upr.edu,EDGAR SMITH,School of Pharmacy,,,,,,,,,Department of Pharmacy Practice,,,Edgar Smith,edgar.smith@upr.edu,Mental Health Services - Persevering 4thgeneration interface,This project addresses critical needs by developing strategic solutions and community partnerships.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 3: Foster RCM participation in analyzing population health issues and disclosing institutional successes.,,,,,,,,,,,Taylor Watson,Yes,MGRC - CONTRATOS GOB MUNICIPAL (40260);ISTFA - AYUDA INST ASIST ECON EST (40275),166326.05,New
54,01/23/2026 19:52,01/23/2026 20:01,jasmine.wright@upr.edu,JASMINE WRIGHT,School of Pharmacy,,,,,,,,,Drug Information Center,,,Jasmine Wright,jasmine.wright@upr.edu,Technology Modernization - Phased clear-thinking capability,This project addresses critical needs by developing strategic solutions and community partnerships.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 2: Strengthen physical and technological infrastructure for optimal service quality.,,,,,,,,,,,,Dylan Fields,Yes,FIP - PAREO FONDO INSTITUCIONAL (40120),180599.8,New
55,01/31/2026 14:48,01/31/2026 14:51,paul.snow@upr.edu,PAUL SNOW,School of Pharmacy,,,,,,,,,Department of Pharmacy Practice,,,Paul Snow,paul.snow@upr.edu,Student Research Fellowship - Integrated empowering parallelism,This initiative will transform our operations through technology and process improvement.,B. RESEARCH TRANSFORMATION,,"Goal 1: Prioritize research at the RCM by maximizing the use of resources (human, fiscal, and physical) improving the efficiency of administrative processes, promoting dissemination activities and transdisciplinary collaboration, which in turn result in the generation of external funds.",,,,,,,,,,,,,Melissa Carrillo,Yes,SGOVC - CONTRATOS GOB PR (40250),74765.37,New
56,02/12/2026 08:36,02/12/2026 08:40,shawn.yoder@upr.edu,SHAWN YODER,Dean of Administration,,,,,Office of the Dean of Administration,,,,,,,Shawn Yoder,shawn.yoder@upr.edu,Research Ethics Compliance - Re-contextualized uniform budgetary management,This project addresses critical needs by developing strategic solutions and community partnerships.,B. RESEARCH TRANSFORMATION,,Goal 2: Maintain RCM leadership in innovation and clinical/scientific research for sustainable local and global development.,,,,,,,,,,,,,Richard Murphy,Yes,RENDINC - INGRESOS FONDO DOTAL (40370);FIP - PAREO FONDO INSTITUCIONAL (40120);GF - FONDO GENERAL (40110),143941.99,New
57,02/12/2026 07:07,02/12/2026 07:16,brian.stone@upr.edu,BRIAN STONE,School of Nursing,,,,,,,,Graduate Nursing Programs,,,,Brian Stone,brian.stone@upr.edu,Clinical Trial Management - Extended 24hour archive,An interdisciplinary effort to advance our mission through education and resource optimization.,B. RESEARCH TRANSFORMATION,,"Goal 1: Prioritize research at the RCM by maximizing the use of resources (human, fiscal, and physical) improving the efficiency of administrative processes, promoting dissemination activities and transdisciplinary collaboration, which in turn result in the generation of external funds.",,,,,,,,,,,,,Morgan Caldwell MD,No,,,N/A
58,02/17/2026 23:42,02/17/2026 23:45,justin.jackson@upr.edu,JUSTIN JACKSON,School of Health Professions,,,,,,,,,,Department of Radiologic Sciences,,Justin Jackson,justin.jackson@upr.edu,Accreditation Support - Implemented optimizing hardware,This project aims to improve outcomes through innovative approaches and collaborative efforts.,A. ACADEMIC EXCELLENCE AND INNOVATION,"Goal 1: Incorporate high-quality academic program offerings that are relevant, competitive, and respond to the evolution of health needs, focusing on sectors with the greatest need.",,,,,,,,,,,,,,Robert Hendrix,Yes,CPF - MEJORAS PERMANENTES (40411-69),191346.42,Pending
59,02/17/2026 04:59,02/17/2026 05:10,tammy.mckenzie@upr.edu,TAMMY MCKENZIE,School of Health Professions,,,,,,,,,,Department of Physical Therapy,,Tammy Mckenzie,tammy.mckenzie@upr.edu,Health Screening Program - Networked value-added challenge,This initiative will transform our operations through technology and process improvement.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 2: Optimize participation in collaborative social impact projects in the community.,,,,,,,,,,,Jessica Gray,Yes,FIP - PAREO FONDO INSTITUCIONAL (40120);SGOVC - CONTRATOS GOB PR (40250);CDBGMF - PAREO PROYECTOS FEMA (40472),53545.27,Pending
60,01/31/2026 11:37,01/31/2026 11:40,jeremy.bautista@upr.edu,JEREMY BAUTISTA,Dean of Investigation,,,Research Centers in Minority Institutions (RCMI) Program,,,,,,,,,Jeremy Bautista,jeremy.bautista@upr.edu,Laboratory Equipment Upgrade - Optional user-facing approach,An interdisciplinary effort to advance our mission through education and resource optimization.,B. RESEARCH TRANSFORMATION,,"Goal 1: Prioritize research at the RCM by maximizing the use of resources (human, fiscal, and physical) improving the efficiency of administrative processes, promoting dissemination activities and transdisciplinary collaboration, which in turn result in the generation of external funds.",,,,,,,,,,,,,Vincent Owen,No,,,N/A
61,02/14/2026 10:52,02/14/2026 10:58,diana.hart@upr.edu,DIANA HART,Chancellor,Office of the Chancellor,,,,,,,,,,,Diana Hart,diana.hart@upr.edu,Infrastructure Improvement - Digitized encompassing interface,This project addresses critical needs by developing strategic solutions and community partnerships.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 3: Increase and diversify funding sources for budget sustainability.,,,,,,,,,,,,Yolanda Davis,Yes,FIP - PAREO FONDO INSTITUCIONAL (40120);CPF - MEJORAS PERMANENTES (40411-69),56977.55,Existing
62,02/01/2026 20:41,02/01/2026 20:47,joanna.smith@upr.edu,JOANNA SMITH,Dean of Investigation,,,Office of the Dean of Investigation,,,,,,,,,Joanna Smith,joanna.smith@upr.edu,Continuing Education Series - Synergized client-driven workforce,This project aims to improve outcomes through innovative approaches and collaborative efforts.,A. ACADEMIC EXCELLENCE AND INNOVATION,"Goal 1: Incorporate high-quality academic program offerings that are relevant, competitive, and respond to the evolution of health needs, focusing on sectors with the greatest need.",,,,,,,,,,,,,,Ronald Long,No,,,N/A
63,02/14/2026 12:45,02/14/2026 12:58,jesse.christensen@upr.edu,JESSE CHRISTENSEN,Dean of Administration,,,,,Information Technology,,,,,,,Jesse Christensen,jesse.christensen@upr.edu,Mental Health Services - Customizable bifurcated access,This initiative will transform our operations through technology and process improvement.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 2: Optimize participation in collaborative social impact projects in the community.,,,,,,,,,,,Matthew Ross,Yes,RMF - F PAREO GRANTS (40320);CPF - MEJORAS PROJETOS FEMA (40471),63341.61,Existing
64,02/13/2026 19:31,02/13/2026 19:36,keith.hanson@upr.edu,KEITH HANSON,Graduate School of Public Health,,,,,,,,,,,Department of Social Sciences,Keith Hanson,keith.hanson@upr.edu,Continuing Education Series - Profound composite leverage,This initiative will transform our operations through technology and process improvement.,A. ACADEMIC EXCELLENCE AND INNOVATION,Goal 3: Strengthen recruitment and promotion programs to attract more students to programs susceptible to enrollment increase.,,,,,,,,,,,,,,Gina Walker,No,,,N/A
65,02/10/2026 19:30,02/10/2026 19:36,scott.michael@upr.edu,SCOTT MICHAEL,Dean of Investigation,,,Biostatistics Core,,,,,,,,,Scott Michael,scott.michael@upr.edu,Cultural Activities Series - Business-focused discrete orchestration,An interdisciplinary effort to advance our mission through education and resource optimization.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 3: Foster RCM participation in analyzing population health issues and disclosing institutional successes.,,,,,,,,,,,Heather Gray,Yes,CPPF - F MEJORAS DONATIVO PRIV (40280);FIP - PAREO FONDO INSTITUCIONAL (40120),214575.54,New
66,02/12/2026 08:45,02/12/2026 08:53,lisa.avery@upr.edu,LISA AVERY,School of Nursing,,,,,,,,Graduate Nursing Programs,,,,Lisa Avery,lisa.avery@upr.edu,Mental Health Services - Distributed grid-enabled Internet solution,This project addresses critical needs by developing strategic solutions and community partnerships.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 3: Foster RCM participation in analyzing population health issues and disclosing institutional successes.,,,,,,,,,,,Hayley Foley,Yes,FIP - PAREO FONDO INSTITUCIONAL (40120);PPMI - MEDICAL PRACTIVE PLAN (40311),216362.74,Existing
67,01/20/2026 21:04,01/20/2026 21:16,anthony.nixon@upr.edu,ANTHONY NIXON,School of Pharmacy,,,,,,,,,Pharmacy Experiential Education,,,Anthony Nixon,anthony.nixon@upr.edu,Campus Recreation Program - Seamless clear-thinking structure,An interdisciplinary effort to advance our mission through education and resource optimization.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,"Goal 1: Promote comprehensive wellbeing (physical, mental, emotional, and spiritual) through health and culture services.",,,,,,,,,,,Christopher Smith,No,,,N/A
68,02/03/2026 12:23,02/03/2026 12:37,antonio.jimenez@upr.edu,ANTONIO JIMENEZ,Chancellor,Office of the Chancellor,,,,,,,,,,,Antonio Jimenez,antonio.jimenez@upr.edu,Purchasing System Upgrade - Grass-roots leadingedge Local Area Network,An interdisciplinary effort to advance our mission through education and resource optimization.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 3: Increase and diversify funding sources for budget sustainability.,,,,,,,,,,,,Mrs. Joy Arnold,Yes,CDBGMF - PAREO PROYECTOS FEMA (40472),152609.05,Existing
69,01/24/2026 15:32,01/24/2026 15:45,william.edwards@upr.edu,WILLIAM EDWARDS,Dean of Investigation,,,Clinical Research Center,,,,,,,,,William Edwards,william.edwards@upr.edu,Student Success Initiative - Optional heuristic encryption,An interdisciplinary effort to advance our mission through education and resource optimization.,A. ACADEMIC EXCELLENCE AND INNOVATION,Goal 3: Strengthen recruitment and promotion programs to attract more students to programs susceptible to enrollment increase.,,,,,,,,,,,,,,Michael Ruiz,Yes,EMPAUX - F EMP AUX (20181);RENDINC - INGRESOS FONDO DOTAL (40370);ISTFA - AYUDA INST ASIST ECON EST (40275),127709.13,New
70,02/08/2026 05:49,02/08/2026 05:57,mrs..courtney.butler@upr.edu,MRS. COURTNEY BUTLER,School of Nursing,,,,,,,,Nursing Simulation Center,,,,Mrs. Courtney Butler,mrs..courtney.butler@upr.edu,Publication Support Initiative - Pre-emptive radical paradigm,This initiative will transform our operations through technology and process improvement.,B. RESEARCH TRANSFORMATION,,Goal 2: Maintain RCM leadership in innovation and clinical/scientific research for sustainable local and global development.,,,,,,,,,,,,,Gary Gutierrez,Yes,D - DONATIVOS (40270),193396.11,New
71,02/18/2026 07:57,02/18/2026 08:04,peter.horne@upr.edu,PETER HORNE,School of Pharmacy,,,,,,,,,Department of Pharmaceutical Sciences,,,Peter Horne,peter.horne@upr.edu,Continuing Education Series - Organic client-server moderator,This initiative will transform our operations through technology and process improvement.,A. ACADEMIC EXCELLENCE AND INNOVATION,Goal 2: Foster professional development of faculty and non-teaching staff to support educational excellence.,,,,,,,,,,,,,,Jeremy Wilkins,No,,,N/A
72,02/09/2026 22:00,02/09/2026 22:07,clinton.carter.dvm@upr.edu,CLINTON CARTER DVM,School of Medicine,,,,,,Department of Obstetrics and Gynecology,,,,,,Clinton Carter DVM,clinton.carter.dvm@upr.edu,Campus Recreation Program - Organized methodical website,An interdisciplinary effort to advance our mission through education and resource optimization.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 2: Optimize participation in collaborative social impact projects in the community.,,,,,,,,,,,Mrs. Alexis Ramirez,Yes,FGF - F GRANTS FEDERALES (40231-39);RMF - F PAREO GRANTS (40320),186431.58,Pending
